id,nome,marca,descrizione_breve,descrizione,prezzo,immagine
1,Crema Viso Idratante Giorno,Naturé,"Idratazione profonda, leggera e non oleosa.","Formula arricchita con aloe vera biologica, acido ialuronico e vitamina E. Assorbe rapidamente lasciando la pelle morbida e luminosa. Adatta a tutti i tipi di pelle, profumo delicato al gelsomino.",32.90,assets/crema-viso.jpg
2,Siero Anti-Età Gold,Lumière,"Siero concentrato con peptidi e retinolo.","""Il nostro trattamento più potente contro i segni del tempo. Formula avanzata con 5% retinolo incapsulato, peptidi di rame e coenzima Q10. Riduce visibilmente rughe e macchie scure in 4 settimane di utilizzo costante.""",68.50,assets/siero.jpg
3,Olio Corpo Rosa Mosqueta,Botanica,"Olio secco rigenerante, 100% naturale.","Estratto puro di rosa mosqueta cilena dal profumo floreale sottile. Nutre in profondità, migliora elasticità e uniformità del colorito. Ideale per smagliature, cicatrici e pelle secca. Non comedogenico.",24.00,assets/olio-corpo.jpg
4,Maschera Purificante Argilla Verde,Naturé,"Pulizia profonda dei pori, effetto mat.","""Argilla verde al 20% con estratto di tè verde e neem. Rimuove le impurità e regola la produzione di sebo. Lascia la pelle fresca, liscia e visibilmente più luminosa. Ideale per pelli grasse e miste. 1-2 applicazioni a settimana.""",18.50,assets/maschera.jpg
5,Profumo Notte di Fiori,Atelié,"Eau de Parfum floreale orientale, 50ml.","Note di apertura: bergamotto e pepe rosa. Cuore: rosa turca, gelsomino e iris. Fondo: legno di sandalo, muschio bianco e vaniglia bourbon. Concentrazione 18% — lunga durata fino a 10 ore. Bottiglia in vetro riciclato.",89.00,assets/profumo.jpg
6,Balsamo Labbra SPF 20,Lumière,"Nutre e protegge dalle radiazioni UV.","Balsamo ricco in burro di karité, olio di jojoba e cera d'api biologica con filtro solare SPF 20. Ripara le labbra screpolate in poche ore. Disponibile in versione trasparente. Formato tascabile 4,5g.",9.90,assets/balsamo.jpg
7,Shampoo Riparatore Cheratina,Botanica,"Per capelli danneggiati e trattati chimicamente.","Formula con cheratina vegetale estratta dal grano, olio di argan e keratina idrolizzata. Ripara le fibre capillari dall'interno, riduce la crespo e aumenta la lucentezza fin dalla prima applicazione. 250ml.",16.00,assets/shampoo.jpg
8,Contorno Occhi Lifting,Naturé,"Riduce gonfiore e occhiaie in 15 minuti.","Gel fresco con caffeina 3%, peptidi ARGIRELINE® e estratto di camomilla. Applicazione mattina e sera. La texture leggera si assorbe senza lasciare residui. Dermatologicamente testato. 15ml.",44.00,assets/contorno-occhi.jpg
9,Scrub Corpo Caffè & Cocco,Atelié,"Esfoliazione dolce per una pelle vellutata.","Mix di fondi di caffè biologico macinato grosso, olio di cocco vergine e zucchero di canna. Rimuove le cellule morte, stimola la microcircolazione e lascia la pelle perfumata e setosa. Barattolo 300g.",14.50,assets/scrub.jpg
10,Fondotinta Fluido HD,Lumière,"Coprenza modulabile, finish naturale satinato.","Formula leggera con micro-pigmenti HD che si fondono perfettamente con la pelle. SPF 15. Disponibile in 12 sfumature. Idratazione per 12 ore. Non comedogenico, testato su pelle sensibile. 30ml.",38.00,assets/fondotinta.jpg
11,Acqua Micellare Detox,Botanica,"Strucca, purifica e idrata in un solo gesto.","Formula arricchita con micelle intelligenti, acqua termale e aloe vera. Rimuove impurità, trucco waterproof e smog senza risciacquo. Non irrita gli occhi. Flacone 400ml con formula refillable.",13.50,assets/acqua-micellare.jpg
12,Crema Mani Luxury Rose,Atelié,"Trattamento intensivo rigenerante per le mani.","Burro di rosa bulgara, collagene vegetale e vitamina C ad alta concentrazione. Ripara le cuticole, uniforma il colorito e rende le mani visibilmente più giovani e luminose. Profumo irresistibile di rosa fresca. 75ml.",22.00,assets/crema-mani.jpg
